step,steer,throttle,reward,speed,d_lat,collision
0,-0.27707165,0.64870524,-0.42031416448955006,0.0028836879166158065,0.08929368853569031,False
1,-0.27707165,0.64870524,0.07971212738070821,0.0036613575604347325,0.08929207175970078,False
2,-0.27707165,0.64870524,0.07967158891891879,0.0024367228173021293,0.08929083496332169,False
3,-0.27707165,0.64870524,0.07963557825104117,0.0013516003495902492,0.08929013460874557,False
4,-0.27707165,0.64870524,0.0795962903173032,0.00017081657023924475,0.0892898216843605,False
5,-0.27707165,0.64870524,0.11139088193102231,0.9540507630346399,0.08929578214883804,False
6,-0.27707165,0.64870524,0.7658844219447976,5.592752632860275,0.08980543166399002,False
7,-0.27707165,0.64870524,0.861527541669005,8.160174569742619,0.04539797827601433,False
8,-0.27707165,0.64870524,0.9119095866648406,9.98624713940395,0.09026478230953217,False
9,-0.27707165,0.64870524,0.9506534211718038,11.577401576397016,0.15084755420684814,False
10,-0.27707165,0.64870524,0.9823052353616164,13.093644129292203,0.23028580844402313,False
11,-0.27707165,0.64870524,1.0052460296675954,14.511623452923267,0.3319261372089386,False
12,-0.27707165,0.64870524,1.0192424858143836,15.8478620374574,0.4588739573955536,False
13,-0.27707165,0.64870524,1.0244156764197905,17.12943999954507,0.6142206788063049,False
14,-0.27707165,0.64870524,1.0203977360313812,18.37464438210295,0.8019355535507202,False
15,-0.27707165,0.64870524,0.9851755192562018,18.926206796282703,1.0223063230514526,False
16,-0.27707165,0.64870524,0.9317614094685485,19.096826004367333,1.2643824815750122,False
17,-0.27707165,0.64870524,0.8859794435535912,19.71285442976576,1.5354487895965576,False
18,-0.27707165,0.64870524,0.8842417938951737,20.63539989812729,1.6585043668746948,False
19,-0.27707165,0.64870524,1.0173960573644816,22.091483103312083,1.3061295747756958,False
20,-0.27707165,0.64870524,1.1502255976264997,22.99323423575694,0.907035768032074,False
21,-0.27707165,0.64870524,1.303639821559383,23.926723518253148,0.4650268256664276,False
22,-0.27707165,0.64870524,1.466569829847589,24.91186957266032,0.02913077548146248,False
23,-0.27707165,0.64870524,1.352179033337202,25.92092816927681,0.5640016198158264,False
24,-0.27707165,0.64870524,1.2073757405177339,26.924838203146642,1.1537834405899048,False
25,-0.27707165,0.64870524,1.0455953150543498,27.916315549952284,1.7948929071426392,False
26,-0.27707165,0.64870524,-4.712208162173872,28.889575993030952,2.4867403507232666,False
