#{"t_start": 1772400211.0928092, "env_id": null}
r,l,t
-533.993222,103,5.228698
-821.331217,102,7.9588
-897.054602,102,10.752851
-754.597591,102,13.504037
-753.907836,102,16.346121
-715.392843,102,19.18716
-882.549546,102,22.158296
-190.046624,102,25.07439
-492.598456,142,28.63467
205.136915,192,57.198229
-1337.908893,92,74.043812
-1053.358434,64,86.45582
976.33831,142,113.187042
357.360372,99,130.838422
441.704107,70,144.015798
-415.82743,69,156.603107
283.839583,60,168.079687
229.486247,50,178.233725
204.467352,63,190.090641
-444.719226,62,201.483452
174.505179,49,211.119394
277.68914,43,219.469502
243.345973,52,229.84631
270.141277,61,241.353328
169.969207,54,251.699322
235.147976,53,261.705809
248.9111,58,272.997395
281.012304,55,283.987367
166.055386,49,293.236355
-651.0663,51,302.870345
258.763421,58,313.961354
-472.082739,51,324.38342
-1323.822965,53,334.335194
