speed,d_lat,ego_fwd,road_fwd,collision,off_road,steer_delta,route_progress_pct
0.008127616407888408,0.3536671996116638,[-1.00000000e+00  4.20411152e-06],[-1.00000000e+00  1.21982892e-04],False,False,0.009658897295594215,0
0.0015256233181659565,0.353667676448822,[-1.00000000e+00  4.20411152e-06],[-1.00000000e+00  1.21982892e-04],False,False,0.008693007566034795,0
0.001927036215749789,0.3536679148674011,[-1.00000000e+00  4.20411152e-06],[-1.00000000e+00  1.21982892e-04],False,False,0.007823706809431313,0
0.001285125655555528,0.35366812348365784,[-1.00000000e+00  4.20411152e-06],[-1.00000000e+00  1.21982892e-04],False,False,0.007041336128488184,0
0.0007083091660602561,0.3536682426929474,[-1.00000000e+00  4.20411152e-06],[-1.00000000e+00  1.21982892e-04],False,False,0.006337202515639365,0
9.400185342715955e-05,0.35366830229759216,[-1.00000000e+00  4.20411152e-06],[-1.00000000e+00  1.21982892e-04],False,False,0.005703482264075431,0
0.00018405536179435763,0.35366833209991455,[-1.00000000e+00  4.20411152e-06],[-1.00000000e+00  1.21982892e-04],False,False,0.005133134037667887,0
0.00012799079075738817,0.35366836190223694,[-1.00000000e+00  4.20411152e-06],[-1.00000000e+00  1.21982892e-04],False,False,0.004619820633901095,0
7.604639842338835e-05,0.35366836190223694,[-1.00000000e+00  4.20411152e-06],[-1.00000000e+00  1.21982892e-04],False,False,0.00415783857051099,0
3.781218483093082,0.35238954424858093,[-0.99999928 -0.00103012],[-1.00000000e+00  1.21982892e-04],False,False,0.00374205471345989,0
7.186292014656422,0.346513956785202,[-0.9999854 -0.0052253],[-1.00000000e+00  1.21982892e-04],False,False,0.0033678492421138906,0
9.292193113065629,0.3365156054496765,[-0.99993414 -0.01138152],[-1.00000000e+00  1.21982892e-04],False,False,0.00303106431790251,0
11.143874627558764,0.32203906774520874,[-0.99981529 -0.01917067],[-1.00000000e+00  1.21982892e-04],False,False,0.00272795788611227,0
12.993147831741922,0.301920622587204,[-0.99959177 -0.02854354],[-1.00000000e+00  1.21982892e-04],False,False,0.002455162097501032,0
14.778638902547963,0.274756520986557,[-0.99921763 -0.03953035],[-1.00000000e+00  1.21982892e-04],False,False,0.0022096458877509245,0
16.509992903544056,0.23912017047405243,[-0.99864173 -0.05208983],[-1.00000000e+00  1.21982892e-04],False,False,0.0019886812989758362,0
18.25059133066598,0.19328416883945465,[-0.99780518 -0.06620912],[-1.00000000e+00  1.21982892e-04],False,False,0.0017898131690782526,0
19.16406965092622,0.1362827569246292,[-0.9966594 -0.0816647],[-1.00000000e+00  1.21982892e-04],False,False,0.0016108318521704246,0
19.894209715412114,0.07022321224212646,[-0.99520123 -0.09784719],[-1.00000000e+00  1.21982892e-04],False,False,0.0014497486669533821,0
21.2550441678411,0.00926541443914175,[-0.99337447 -0.11491971],[-1.00000000e+00  1.21982892e-04],False,False,0.0013047738002580495,0
23.291802007198115,0.10633498430252075,[-0.99104077 -0.13355649],[-1.00000000e+00  1.21982892e-04],False,False,0.0011742964202322431,0
25.4258240978958,0.22577404975891113,[-0.98801911 -0.15432784],[-1.00000000e+00  1.21982892e-04],False,False,0.0010568667782090146,0
27.24366135673612,0.36810603737831116,[-0.98431295 -0.17642795],[-1.00000000e+00  1.21982892e-04],False,False,0.0009511801003881243,0
29.25128063695528,0.537778913974762,[-0.97978133 -0.20006791],[-1.00000000e+00  1.21982892e-04],False,False,0.0008560620903493021,0
31.359314471221204,0.739133358001709,[-0.97430295 -0.22523831],[-1.00000000e+00  1.21982892e-04],False,False,0.0007704558813143719,0
33.47397281755422,0.9884693622589111,[-0.9675982  -0.25185871],[-1.00000000e+00  1.21982892e-04],False,False,0.0006934102931829417,0
35.98053163404482,1.2602609395980835,[-0.96010071 -0.27888295],[-1.00000000e+00  1.21982892e-04],False,False,0.0006240692638646433,0
7.257765766622835,1.0052675008773804,[-0.92998463 -0.36719713],[-1.00000000e+00  1.21982892e-04],True,False,0.0005616623374781748,0
