speed,d_lat,throttle,brake,steer,ego_fwd,road_fwd,collision,off_road,steer_delta,idling,route_progress_pct
7.056000995635986,0.4308639466762543,0.12974105775356293,0.0,-0.05541433021426201,[-1.00000000e+00  4.20411152e-06],[-1.00000000e+00  1.21982892e-04],False,False,-0.05541433021426201,False,0
1.536691188821907,0.36599472165107727,0.23353390395641327,0.0,-0.09974579438567162,[-1.00000000e+00  4.20411152e-06],[-1.00000000e+00  1.21982892e-04],False,False,-0.04433146417140961,False,0
0.16774708181723166,0.35409313440322876,0.31656818091869354,0.0,-0.1352109657227993,[-1.00000000e+00  4.20411152e-06],[-1.00000000e+00  1.21982892e-04],False,False,-0.03546517133712769,False,0
0.37170784771444837,0.35476186871528625,0.3829956024885178,0.0,-0.16358310279250146,[-1.00000000e+00  4.20411152e-06],[-1.00000000e+00  1.21982892e-04],False,False,-0.028372137069702152,False,0
0.2668703287859995,0.3541557192802429,0.4361375397443772,0.0,-0.1862808124482632,[-1.00000000e+00  4.20411152e-06],[-1.00000000e+00  1.21982892e-04],False,False,-0.022697709655761733,False,0
0.15244670212625935,0.35379844903945923,0.4786510895490647,0.0,-0.20443898017287257,[-1.00000000e+00  4.20411152e-06],[-1.00000000e+00  1.21982892e-04],False,False,-0.018158167724609375,False,0
0.0785860955715323,0.3536887764930725,0.5126619293928147,0.0,-0.21896551435256006,[-1.00000000e+00  4.20411152e-06],[-1.00000000e+00  1.21982892e-04],False,False,-0.014526534179687495,False,0
0.03819159865384918,0.353666216135025,0.5398706012678147,0.0,-0.23058674169631008,[-1.00000000e+00  4.20411152e-06],[-1.00000000e+00  1.21982892e-04],False,False,-0.011621227343750012,False,0
0.017860062050815754,0.3536645770072937,0.5616375387678147,0.0,-0.23988372357131008,[-1.00000000e+00  4.20411152e-06],[-1.00000000e+00  1.21982892e-04],False,False,-0.009296981874999999,False,0
0.008124870435649125,0.3536660671234131,0.5790510887678147,0.0,-0.24732130907131009,[-1.00000000e+00  4.20411152e-06],[-1.00000000e+00  1.21982892e-04],False,False,-0.00743758550000001,False,0
2.2455431122507976,0.3536671996116638,0.5929819287678147,0.0,-0.2532713774713101,[-1.00000000e+00  4.20411152e-06],[-1.00000000e+00  1.21982892e-04],False,False,-0.005950068400000036,False,0
5.969052258663149,0.355409175157547,0.6041266007678148,0.0,-0.2580314321913101,[-0.99999911  0.00130835],[-1.00000000e+00  1.21982892e-04],False,False,-0.004760054719999962,False,0
7.689147364136668,0.3958827257156372,0.6130423383678147,0.0,-0.26183947596731005,[-0.99991494  0.01298691],[-1.00000000e+00  1.21982892e-04],False,False,-0.0038080437759999697,False,0
8.923842104356359,0.5174866318702698,0.6201749284478147,0.0,-0.2648859109881101,[-0.99950755  0.03135323],[-1.00000000e+00  1.21982892e-04],False,False,-0.0030464350208000424,False,0
10.008125258538758,0.7089887261390686,0.6258810005118147,0.0,-0.26732305900475006,[-0.99855793  0.05367333],[-1.00000000e+00  1.21982892e-04],False,False,-0.0024371480166399673,False,0
11.026714088691008,0.9507321119308472,0.6304458581630147,0.0,-0.2692727774180621,[-0.99688309  0.07888731],[-1.00000000e+00  1.21982892e-04],False,False,-0.0019497184133120404,False,0
