#{"t_start": 1772386280.0391364, "env_id": null}
r,l,t
15.82485,27,387.883272
37.95695,55,390.394032
13.924197,24,391.674978
17.415286,27,393.094444
17.642004,32,394.61237
22.177364,38,396.428196
27.527667,41,398.399341
14.056798,27,399.773235
34.119255,43,401.799794
17.120217,32,403.392392
30.1224,51,405.750278
22.21804,31,407.286775
22.651452,32,408.865913
28.622258,36,410.612739
24.153937,33,412.340761
20.216831,30,413.858459
20.26864,32,415.419257
8.842092,22,416.544964
16.745958,28,417.934378
26.19116,37,419.641548
40.66974,53,422.032934
14.298286,26,423.337339
25.347572,34,424.972716
43.126378,46,427.124877
20.890849,31,428.702236
35.753605,47,430.538997
30.675271,38,431.996285
32.8553,42,433.573282
13.553612,25,434.608088
20.939225,30,435.875296
23.390851,32,437.207615
36.267104,48,439.035932
31.080305,49,440.82898
34.129994,47,442.541543
68.9456,101,446.072004
22.787036,32,447.327633
42.513947,50,449.663257
33.941765,45,451.988612
34.494782,40,453.879782
48.703005,61,456.544642
41.810864,70,459.522492
24.451972,36,461.208485
36.781355,49,463.460443
23.733161,32,465.03771
46.575062,108,470.203475
55.841677,51,472.496432
18.88844,34,474.132881
37.594336,46,476.350644
40.393445,44,478.675425
43.416137,53,481.381072
40.642689,48,483.600501
31.532704,42,485.579137
29.806005,45,487.681159
31.32868,41,489.567832
39.367081,43,491.489723
37.01544,51,493.912441
31.323041,40,495.861641
37.118852,42,497.868756
46.401004,66,500.815367
43.574846,77,504.259338
55.811312,63,507.086973
47.367334,81,510.65389
36.432526,48,512.918461
64.997972,74,516.170098
31.227795,43,518.233744
25.069043,40,520.159346
55.893316,73,523.424731
61.968421,79,526.946542
61.526851,69,530.05417
61.508005,79,533.55358
25.372252,33,535.192582
34.154922,41,537.150952
33.200968,44,539.290922
39.493323,49,541.587428
28.367811,37,543.384166
32.998106,46,545.53588
41.62915,57,548.228502
34.416307,50,550.607955
62.174977,72,553.839497
50.292538,65,556.792003
30.590911,42,558.840946
34.804237,48,561.308222
37.532688,48,563.51193
39.285924,56,566.12711
44.988342,63,568.935718
56.36375,58,571.647333
35.828625,53,574.090061
29.892716,38,575.814668
59.742269,68,578.852846
37.826863,51,581.320546
43.059286,48,583.728913
42.047658,59,586.613472
42.515439,52,589.181176
49.450926,54,591.924544
45.031731,57,594.782613
41.796911,45,597.08454
62.318031,102,601.867674
41.352647,59,604.928083
41.574506,52,607.654934
42.09243,57,610.61649
52.271114,64,613.88204
22.741823,38,615.926924
23.35752,34,617.582958
43.976684,66,620.528095
33.657921,44,622.576156
32.25726,44,624.617448
43.77829,58,627.652365
37.865038,47,630.142736
46.589015,52,632.837409
50.551349,51,635.479321
36.031446,49,638.068619
71.508774,82,642.184927
25.829395,36,644.162634
44.557951,70,647.602373
43.350943,55,650.145548
