#{"t_start": 1772387035.0761545, "env_id": null}
r,l,t
18.158087,28,1.537341
57.146057,62,4.775881
16.648308,29,6.275962
61.331137,72,9.513616
52.607684,62,12.609315
58.730885,65,15.692851
76.495087,84,19.589731
105.251101,131,25.45531
32.546977,41,27.261051
45.847248,50,29.670162
66.127293,74,33.103531
29.572429,39,35.101525
37.776218,52,37.376938
33.024048,40,39.32463
58.504134,68,42.657712
47.302776,53,45.182551
54.687636,59,47.885687
67.830243,69,50.970932
53.87681,61,53.751739
49.56757,52,56.211139
55.624562,60,59.094225
55.180391,62,61.97948
87.463841,83,65.784848
39.706669,45,68.102767
79.591463,85,72.033885
37.968203,40,73.881484
30.812174,41,75.995411
40.632747,50,78.234467
76.848764,89,82.345406
25.806627,34,84.042676
34.543317,42,86.100685
41.028035,50,88.597479
79.481137,100,93.189824
64.987358,80,96.945321
50.84451,57,99.70875
41.297641,46,102.004111
86.920185,89,106.091222
40.213401,43,108.28701
47.821513,52,110.834764
42.19011,49,113.273592
47.686445,50,115.730725
18.77337,29,117.41098
38.070562,46,119.668729
40.069811,50,122.08709
50.955464,58,124.87698
70.603106,79,128.481949
12.786007,27,129.870943
62.809376,69,133.279075
48.384224,56,136.017499
63.792779,71,139.382467
41.519886,49,141.76668
40.394425,46,143.898311
63.411077,62,146.962866
50.116464,52,149.686941
49.395003,53,152.315303
45.883756,51,154.798692
20.641007,30,156.393502
45.635741,52,158.913168
37.084893,52,161.097258
60.894283,65,163.74801
55.381574,67,166.49602
40.386603,48,168.864435
35.773055,42,170.928107
65.665118,65,174.05188
75.934706,82,177.818963
78.211046,80,181.647692
45.493695,56,184.362547
62.927804,70,187.652734
66.547611,65,190.704017
44.065767,48,193.090306
37.919233,43,195.123183
42.980146,47,197.482047
29.302305,38,199.430584
48.126891,54,202.017797
44.70516,49,204.42023
70.523553,74,207.96734
53.565973,58,210.803792
50.654692,53,213.50703
41.337014,48,215.931591
52.939641,58,218.754758
84.30226,84,222.65447
48.535176,58,225.448272
24.644269,38,227.358109
47.593065,56,230.099582
47.523632,55,232.742086
65.239794,63,235.606968
45.544473,51,238.119938
49.569781,57,240.954329
45.938555,51,243.557101
33.449372,39,245.58135
41.267922,46,248.126214
46.045658,54,250.932815
24.212077,31,252.737393
62.355186,67,256.191659
58.907159,63,259.415066
51.936625,60,262.247375
60.171737,68,265.696728
46.077573,52,268.340525
38.356984,45,270.653724
60.875377,59,273.526928
50.23259,53,276.0875
63.273566,86,280.015496
52.349074,61,283.147589
58.41558,63,286.34052
49.939539,60,289.153325
81.526125,92,293.5373
50.56027,54,296.35199
21.357309,30,298.004887
84.687065,86,302.066477
46.155064,48,304.474028
43.725994,48,306.949005
56.971746,57,309.870697
34.129422,40,311.945284
61.422221,60,314.874779
17.054655,27,316.403631
57.058072,60,319.413147
25.988033,36,321.275578
39.990393,48,323.661103
43.795767,50,325.869905
57.416211,59,328.368365
77.975706,78,332.299711
38.206017,43,334.703738
65.570854,62,337.990215
61.316418,68,341.53058
30.776228,42,343.673843
94.167124,95,347.426234
36.307111,42,349.390609
40.807269,53,351.971252
50.516844,59,354.932573
66.713766,66,358.318113
18.481834,28,359.994891
51.92393,57,362.996267
24.88603,34,364.853604
57.093896,61,368.064105
122.611942,130,374.493854
99.0577,107,379.562461
27.066226,35,381.356268
58.820665,59,384.452654
64.277174,70,387.794461
47.812077,64,390.987914
44.633055,44,393.331135
39.525941,44,395.609757
33.557776,44,397.81997
59.964935,59,400.743113
19.835971,30,402.40453
86.579606,105,407.319754
35.117971,40,409.459787
52.812831,54,412.159257
26.115803,35,413.956471
43.856398,51,416.530806
54.580815,58,419.250647
43.678095,51,421.788306
39.928312,46,424.126675
85.40358,84,428.214559
93.167043,80,432.127695
95.225857,90,436.374695
49.362492,55,439.160055
76.481343,76,442.926694
106.166882,110,447.735076
43.79603,46,449.817267
71.027047,69,452.623552
42.689461,46,454.930357
82.794761,89,459.17993
34.963067,41,461.482989
40.273383,44,464.003408
77.461636,80,468.333244
26.552555,33,470.03309
44.843166,51,472.831081
51.567357,57,475.508155
40.414889,48,477.924805
31.102767,42,480.186299
91.302985,99,484.902798
65.685219,61,487.932945
23.917235,37,489.857034
36.004225,44,492.101167
71.579503,87,496.327121
76.165254,81,500.342749
36.939874,43,502.489591
42.225036,47,504.86395
41.895011,46,507.226327
60.815252,62,510.374323
65.089944,66,513.73566
51.843842,57,516.502182
63.741273,60,519.187336
76.577541,79,523.110525
42.501962,46,525.464871
32.566429,40,527.552596
26.637539,34,529.484854
104.72821,98,534.270763
46.645135,55,537.165591
42.098306,52,539.587913
49.479006,55,542.171298
53.980823,64,544.986444
60.738509,67,548.144264
63.575061,66,551.545251
55.276577,60,554.620418
50.682373,57,557.62038
71.055201,71,561.1293
50.205224,53,563.845695
37.570416,45,566.185328
85.853136,80,570.045972
47.762765,49,572.569818
19.466766,31,574.210486
56.920515,59,577.229755
30.994968,39,579.281018
70.809706,74,582.948694
43.090949,51,585.760917
46.954205,56,588.571712
41.687874,48,590.985033
25.542955,35,592.868032
53.884903,55,595.60852
85.160371,92,600.062576
53.163274,56,603.085856
71.56193,76,607.070117
54.755798,58,610.334287
37.774228,47,612.828204
93.224667,89,617.174203
38.875097,46,619.657437
38.802049,49,622.008575
50.391505,54,624.806292
32.860242,42,626.947164
84.140625,78,630.634358
59.54078,63,633.859801
29.182281,39,635.981174
47.911394,56,638.791456
35.163002,44,641.077432
66.146288,76,644.912039
28.948852,37,646.876154
63.406641,63,650.059246
73.05479,70,653.629517
48.79549,53,656.357286
73.272031,68,659.698914
59.422088,58,662.815772
61.18498,67,666.293439
38.924522,44,668.524441
53.747928,63,671.67787
74.577727,76,675.417594
73.024774,72,678.890288
53.386995,60,681.813558
28.118139,39,684.156672
35.075475,50,686.708834
71.651866,76,690.402104
39.231433,47,692.994994
46.414004,52,695.6735
48.224814,50,698.354749
52.227895,56,701.022608
58.250934,63,703.79342
29.023661,36,705.915843
40.568939,53,708.590569
43.36058,48,711.163555
63.488276,65,714.608428
74.824916,79,718.781305
37.82292,47,721.363179
60.135818,64,724.821463
73.033191,76,728.639679
40.588172,51,731.42202
50.516089,55,734.227751
40.650849,46,736.665578
36.746971,42,739.058474
41.567946,49,741.815421
30.025496,39,743.997031
55.283772,56,746.853494
30.004188,40,748.871482
65.135159,61,751.932336
40.186453,46,754.482511
51.204721,52,757.107259
22.217163,32,758.899896
37.614962,43,761.191208
59.241623,61,764.239337
57.922816,65,767.752398
61.505808,62,770.916809
47.900256,43,773.282539
54.062954,55,776.117455
58.032161,60,779.440556
61.534068,62,782.795488
76.389894,85,787.088237
88.052015,83,791.478019
39.126284,46,793.929656
50.629765,53,797.016991
60.11351,57,800.110699
87.871931,79,804.039726
50.426781,53,806.827174
38.54556,43,809.622634
66.352312,69,813.116092
50.064044,55,816.01236
28.770876,36,818.021059
60.03356,63,821.579448
41.756475,46,824.062545
37.705259,43,826.385768
59.908575,56,829.35555
53.418246,55,832.27035
54.609277,63,835.810279
72.63603,65,838.881295
56.313474,58,841.849439
76.818386,73,845.572044
70.887782,69,848.956403
53.840378,63,852.42178
27.548799,36,854.360223
45.745598,50,856.929191
82.227631,78,860.790915
63.626712,65,864.074143
66.478492,67,867.460423
35.221298,44,869.783823
65.721116,68,873.439521
28.008675,42,875.77242
67.035269,69,879.414945
93.31144,84,883.697093
57.656618,60,886.916483
51.871951,51,889.507193
52.962061,57,892.575027
40.54307,47,895.013474
47.98642,55,897.784246
66.652442,68,901.492239
89.475655,89,906.103549
35.68041,44,908.60785
65.351759,65,912.435133
36.983398,43,914.721277
52.193152,57,917.854015
49.747724,55,920.638133
90.828138,94,925.182456
46.769924,51,927.861233
50.4198,56,930.748955
48.823516,51,933.30225
63.621112,65,936.615477
60.451425,62,939.802763
36.168285,47,942.269308
40.083758,51,945.044322
58.514461,55,947.794654
55.477868,63,951.451822
37.814709,44,953.872904
44.24036,45,956.092668
41.194807,47,958.812815
46.969651,62,962.018084
80.108878,78,966.004114
112.877339,103,971.307308
54.106468,59,974.512976
133.518074,126,981.216731
53.516771,55,984.316259
68.969766,66,987.786316
10.507599,25,989.301915
32.982446,42,991.521699
74.72091,88,996.478854
48.568005,63,999.828265
70.239592,72,1003.675483
60.816224,59,1006.986158
109.815104,111,1012.809153
50.383217,57,1015.520084
70.96059,65,1018.814353
116.448025,108,1024.346146
39.053632,47,1026.87571
44.60561,46,1029.316502
64.630415,76,1033.29011
64.974356,67,1036.894255
32.002811,38,1038.940756
102.074058,92,1043.388462
32.716768,43,1045.650161
38.791748,48,1048.213251
50.257681,53,1051.01472
42.981805,48,1053.77277
51.677603,58,1057.055012
134.591447,123,1063.070373
123.318659,107,1068.161393
77.091656,69,1071.660367
31.92596,43,1073.885601
28.233251,37,1075.985554
33.171723,42,1078.056225
68.066414,90,1081.941124
68.161785,72,1085.500216
72.59392,73,1089.223753
69.646943,71,1093.182421
54.5938,59,1096.187217
48.43237,51,1098.919425
25.582729,35,1100.865284
99.324184,110,1106.596693
46.543515,55,1109.742517
58.448489,64,1112.970112
57.46486,59,1116.261544
26.437424,37,1118.258348
30.931923,40,1120.353737
49.160961,55,1123.017126
40.924368,48,1125.606215
40.360378,49,1128.207121
54.363782,54,1130.989433
81.141565,84,1135.294281
40.300953,46,1137.994448
34.924148,42,1140.393596
60.148933,62,1143.271642
77.017393,81,1147.479459
57.074637,57,1150.488812
50.470011,54,1153.258289
76.642756,78,1157.289687
56.550867,63,1161.23493
31.406256,37,1163.242181
75.003399,68,1166.82667
62.663409,65,1170.489111
52.788789,62,1173.894672
70.604018,73,1177.628272
68.489426,66,1181.090296
58.949915,65,1184.58389
86.659505,79,1188.490547
54.035318,56,1191.210527
34.670164,45,1193.189608
66.418074,71,1196.517961
62.713733,64,1200.352335
34.709538,41,1202.697721
68.637578,67,1206.038201
31.500611,40,1208.113316
53.460953,61,1211.20437
59.96567,69,1214.949395
53.017835,66,1218.478323
60.725112,67,1222.268991
72.090886,69,1225.954256
41.013975,49,1228.638034
79.070962,71,1232.195353
61.454658,67,1235.730655
33.839151,41,1238.018196
51.862871,59,1241.02032
42.728243,48,1243.577552
41.933565,45,1245.834259
52.536037,52,1248.35245
59.388247,60,1251.316738
84.721288,79,1255.085801
35.191907,44,1257.553697
32.581463,38,1259.466393
12.147094,24,1260.849025
36.543064,43,1263.293199
