speed,d_lat,ego_fwd,road_fwd,collision,off_road,steer_delta,route_progress_pct
0.0008393554974101182,0.3536667823791504,[-1.00000000e+00  4.20411152e-06],[-1.00000000e+00  1.21982892e-04],False,False,-0.05541433021426201,0
0.004750385368334987,0.35366716980934143,[-1.00000000e+00  4.20411152e-06],[-1.00000000e+00  1.21982892e-04],False,False,-0.04433146417140961,0
0.0036145360750731545,0.35366764664649963,[-1.00000000e+00  4.20411152e-06],[-1.00000000e+00  1.21982892e-04],False,False,-0.03546517133712769,0
0.002110611006888806,0.3536680042743683,[-1.00000000e+00  4.20411152e-06],[-1.00000000e+00  1.21982892e-04],False,False,-0.028372137069702152,0
0.0009428672958193762,0.35366809368133545,[-1.00000000e+00  4.20411152e-06],[-1.00000000e+00  1.21982892e-04],False,False,-0.022697709655761733,0
0.0007712745457771817,0.353668212890625,[-1.00000000e+00  4.20411152e-06],[-1.00000000e+00  1.21982892e-04],False,False,-0.018158167724609375,0
0.0004603957818555901,0.3536682724952698,[-1.00000000e+00  4.20411152e-06],[-1.00000000e+00  1.21982892e-04],False,False,-0.014526534179687495,0
0.0002392959526061956,0.35366833209991455,[-1.00000000e+00  4.20411152e-06],[-1.00000000e+00  1.21982892e-04],False,False,-0.011621227343750012,0
0.011039081695029339,0.3536607325077057,[-1.00000000e+00  1.01645765e-05],[-1.00000000e+00  1.21982892e-04],False,False,-0.009296981874999999,0
5.073619180803467,0.3644930124282837,[-0.99996215  0.00864343],[-1.00000000e+00  1.21982892e-04],False,False,-0.00743758550000001,0
7.6018910928552295,0.3898410499095917,[-0.99966735  0.02575411],[-1.00000000e+00  1.21982892e-04],False,False,-0.005950068400000036,0
9.302293214242011,0.4279574155807495,[-0.99884838  0.0479613 ],[-1.00000000e+00  1.21982892e-04],False,False,-0.004760054719999962,0
10.771578541770621,0.4794786870479584,[-0.99721855  0.07452401],[-1.00000000e+00  1.21982892e-04],False,False,-0.0038080437759999697,0
12.173232062719332,0.5469796061515808,[-0.99448371  0.10488672],[-1.00000000e+00  1.21982892e-04],False,False,-0.0030464350208000424,0
13.559375137148017,0.6336227059364319,[-0.99031621  0.13882698],[-1.00000000e+00  1.21982892e-04],False,False,-0.0024371480166399673,0
14.875225335548535,0.7425740361213684,[-0.98436803  0.17612173],[-1.00000000e+00  1.21982892e-04],False,False,-0.0019497184133120404,0
16.140498613943166,0.8768550753593445,[-0.97629094  0.21646108],[-1.00000000e+00  1.21982892e-04],False,False,-0.0015597747306496101,0
17.365851067983858,1.0396738052368164,[-0.96573538  0.25952759],[-1.00000000e+00  1.21982892e-04],False,False,-0.0012478197845197103,0
18.567155961193656,1.2343875169754028,[-0.95235389  0.3049944 ],[-1.00000000e+00  1.21982892e-04],False,False,-0.0009982558276157016,0
18.828452819499923,1.4586613178253174,[-0.93609947  0.35173509],[-1.00000000e+00  1.21982892e-04],False,False,-0.0007986046620925835,0
19.084778635683442,1.7039003372192383,[-0.91730601  0.39818287],[-1.00000000e+00  1.21982892e-04],False,False,-0.0006388837296740779,0
19.744813051207455,1.978646159172058,[-0.89564735  0.44476479],[-1.00000000e+00  1.21982892e-04],False,False,-0.0005111069837392956,0
20.65641504713381,1.7109270095825195,[-0.87069809  0.49181777],[ 1.00000000e+00 -1.21852776e-04],False,False,-0.0004088855869913699,0
22.02933981297177,1.3552180528640747,[-0.84162033  0.54006934],[ 1.00000000e+00 -1.21852776e-04],False,False,-0.00032710846959316253,0
23.03160096755591,0.9547133445739746,[-0.80860919  0.58834589],[ 1.00000000e+00 -1.21852776e-04],False,False,-0.0002616867756745078,0
24.068126357096283,0.5075024366378784,[-0.77107787  0.63674062],[ 1.00000000e+00 -1.21852776e-04],False,False,-0.00020934942053962846,0
25.122451779301926,0.011628692969679832,[-0.72949308  0.68398809],[ 1.00000000e+00 -1.21852776e-04],False,False,-0.00016747953643170277,0
25.178183611706604,0.5317955613136292,[-0.68140703  0.73182988],[ 1.00000000e+00 -1.21852776e-04],False,False,-0.0001339836291452956,0
26.579666472828457,1.1227309703826904,[-0.63031673  0.77572918],[ 1.00000000e+00 -1.21852776e-04],False,False,-0.00010718690331623648,0
5.0527600264969745,1.2060422897338867,[-0.65681303  0.75359678],[ 1.00000000e+00 -1.21852776e-04],True,False,-8.57495226530558e-05,0
